0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,B
1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,H
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,H
0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,H
0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,H
0.0,0.0,0.0,4.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,1.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,1.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,3.0,2.0,0.0,3.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,1.0,3.0,0.0,3.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,D
0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,D
0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,D
0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,D
0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,A
0.0,0.0,0.0,4.0,0.0,0.0,4.0,5.0,B
0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,N
0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,N
0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,N
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,B
